14 concurrent games, one per physical core (16 physical / 32 logical)
SPRT [-5.0, 10.0] bounds [-2.94, 2.94]
compiling both engines once per worker, then playing continuously
     40 games  +14 =10 -16  elo -17 +/- 112  LLR -0.13  (2 min)
     80 games  +28 =25 -27  elo +4 +/- 77  LLR +0.03  (3 min)
    120 games  +41 =34 -45  elo -12 +/- 63  LLR -0.29  (5 min)
    160 games  +52 =49 -59  elo -15 +/- 54  LLR -0.51  (6 min)
    200 games  +73 =59 -68  elo +9 +/- 48  LLR +0.22  (7 min)
    240 games  +90 =71 -79  elo +16 +/- 44  LLR +0.57  (8 min)
    280 games  +107 =82 -91  elo +20 +/- 41  LLR +0.86  (9 min)
    320 games  +122 =91 -107  elo +16 +/- 38  LLR +0.77  (10 min)
    360 games  +137 =104 -119  elo +17 +/- 36  LLR +0.94  (11 min)
    400 games  +156 =116 -128  elo +24 +/- 34  LLR +1.54  (12 min)
    440 games  +169 =127 -144  elo +20 +/- 33  LLR +1.33  (14 min)
    480 games  +183 =141 -156  elo +20 +/- 31  LLR +1.45  (15 min)
    520 games  +195 =153 -172  elo +15 +/- 30  LLR +1.18  (16 min)
    560 games  +206 =170 -184  elo +14 +/- 29  LLR +1.12  (17 min)
    600 games  +217 =184 -199  elo +10 +/- 28  LLR +0.85  (18 min)
    640 games  +233 =197 -210  elo +12 +/- 27  LLR +1.15  (19 min)
    680 games  +244 =214 -222  elo +11 +/- 26  LLR +1.08  (20 min)
    720 games  +255 =224 -241  elo +7 +/- 25  LLR +0.55  (22 min)
    760 games  +272 =234 -254  elo +8 +/- 25  LLR +0.78  (23 min)
    800 games  +283 =248 -269  elo +6 +/- 24  LLR +0.52  (24 min)
    840 games  +296 =267 -277  elo +8 +/- 24  LLR +0.82  (25 min)
    880 games  +312 =273 -295  elo +7 +/- 23  LLR +0.67  (26 min)
    920 games  +322 =286 -312  elo +4 +/- 22  LLR +0.21  (27 min)
    960 games  +335 =298 -327  elo +3 +/- 22  LLR +0.07  (28 min)
   1000 games  +347 =312 -341  elo +2 +/- 22  LLR -0.07  (29 min)
   1040 games  +367 =320 -353  elo +5 +/- 21  LLR +0.41  (31 min)
   1080 games  +378 =327 -375  elo +1 +/- 21  LLR -0.30  (32 min)
   1120 games  +395 =339 -386  elo +3 +/- 20  LLR +0.06  (33 min)
   1160 games  +411 =350 -399  elo +4 +/- 20  LLR +0.23  (34 min)
   1200 games  +423 =358 -419  elo +1 +/- 20  LLR -0.28  (35 min)
   1240 games  +439 =373 -428  elo +3 +/- 19  LLR +0.13  (36 min)
   1280 games  +457 =387 -436  elo +6 +/- 19  LLR +0.73  (37 min)
   1320 games  +472 =399 -449  elo +6 +/- 19  LLR +0.84  (38 min)
   1360 games  +481 =412 -467  elo +4 +/- 18  LLR +0.26  (40 min)
   1400 games  +496 =422 -482  elo +3 +/- 18  LLR +0.24  (41 min)
   1440 games  +513 =434 -493  elo +5 +/- 18  LLR +0.60  (42 min)
   1480 games  +526 =442 -512  elo +3 +/- 18  LLR +0.21  (43 min)
   1520 games  +539 =459 -522  elo +4 +/- 17  LLR +0.38  (44 min)
   1560 games  +556 =470 -534  elo +5 +/- 17  LLR +0.67  (45 min)
SPRT: out of time at 45 minutes, undecided - about 6,895 games would settle it
RESULT inconclusive 556 470 534 4.9 17.3 0.666
