14 concurrent games, one per physical core (16 physical / 32 logical)
SPRT [-5.0, 10.0] bounds [-2.94, 2.94]
compiling both engines once per worker, then playing continuously
     40 games  +9 =16 -15  elo -53 +/- 113  LLR -0.47  (2 min)
     80 games  +18 =26 -36  elo -80 +/- 80  LLR -1.28  (3 min)
    120 games  +31 =37 -52  elo -61 +/- 64  LLR -1.43  (5 min)
    160 games  +48 =49 -63  elo -33 +/- 55  LLR -1.02  (6 min)
    200 games  +67 =57 -76  elo -16 +/- 49  LLR -0.63  (7 min)
    240 games  +84 =68 -88  elo -6 +/- 44  LLR -0.35  (8 min)
    280 games  +98 =80 -102  elo -5 +/- 41  LLR -0.36  (9 min)
    320 games  +113 =91 -116  elo -3 +/- 38  LLR -0.32  (10 min)
    360 games  +133 =98 -129  elo +4 +/- 36  LLR +0.08  (11 min)
    400 games  +148 =110 -142  elo +5 +/- 34  LLR +0.19  (12 min)
    440 games  +160 =123 -157  elo +2 +/- 33  LLR -0.01  (14 min)
    480 games  +172 =135 -173  elo -1 +/- 31  LLR -0.27  (15 min)
    520 games  +191 =146 -183  elo +5 +/- 30  LLR +0.26  (16 min)
    560 games  +206 =158 -196  elo +6 +/- 29  LLR +0.36  (17 min)
    600 games  +220 =170 -210  elo +6 +/- 28  LLR +0.34  (18 min)
    640 games  +236 =184 -220  elo +9 +/- 27  LLR +0.69  (19 min)
    680 games  +251 =196 -233  elo +9 +/- 26  LLR +0.80  (20 min)
    720 games  +268 =205 -247  elo +10 +/- 25  LLR +0.96  (21 min)
    760 games  +282 =217 -261  elo +10 +/- 25  LLR +0.94  (23 min)
    800 games  +297 =226 -277  elo +9 +/- 24  LLR +0.86  (24 min)
    840 games  +316 =236 -288  elo +12 +/- 24  LLR +1.32  (25 min)
    880 games  +325 =249 -306  elo +8 +/- 23  LLR +0.76  (26 min)
    920 games  +344 =259 -317  elo +10 +/- 22  LLR +1.23  (27 min)
    960 games  +359 =268 -333  elo +9 +/- 22  LLR +1.14  (28 min)
   1000 games  +371 =283 -346  elo +9 +/- 22  LLR +1.07  (29 min)
   1040 games  +385 =295 -360  elo +8 +/- 21  LLR +1.06  (31 min)
   1080 games  +399 =305 -376  elo +7 +/- 21  LLR +0.92  (32 min)
   1120 games  +412 =321 -387  elo +8 +/- 20  LLR +1.03  (33 min)
   1160 games  +424 =333 -403  elo +6 +/- 20  LLR +0.77  (34 min)
   1200 games  +436 =348 -416  elo +6 +/- 20  LLR +0.69  (35 min)
   1240 games  +449 =359 -432  elo +5 +/- 19  LLR +0.49  (36 min)
   1280 games  +460 =372 -448  elo +3 +/- 19  LLR +0.17  (37 min)
   1320 games  +474 =384 -462  elo +3 +/- 19  LLR +0.15  (38 min)
   1360 games  +495 =394 -471  elo +6 +/- 18  LLR +0.86  (40 min)
   1400 games  +511 =405 -484  elo +7 +/- 18  LLR +1.03  (41 min)
   1440 games  +532 =411 -497  elo +8 +/- 18  LLR +1.49  (42 min)
   1480 games  +545 =421 -514  elo +7 +/- 18  LLR +1.23  (43 min)
   1520 games  +558 =434 -528  elo +7 +/- 17  LLR +1.15  (44 min)
   1560 games  +570 =451 -539  elo +7 +/- 17  LLR +1.20  (45 min)
   1600 games  +589 =461 -550  elo +8 +/- 17  LLR +1.67  (46 min)
   1640 games  +597 =470 -573  elo +5 +/- 17  LLR +0.74  (47 min)
   1680 games  +612 =482 -586  elo +5 +/- 17  LLR +0.84  (49 min)
   1720 games  +632 =492 -596  elo +7 +/- 16  LLR +1.43  (50 min)
   1760 games  +648 =503 -609  elo +8 +/- 16  LLR +1.59  (51 min)
   1800 games  +663 =514 -623  elo +8 +/- 16  LLR +1.64  (52 min)
   1840 games  +679 =523 -638  elo +8 +/- 16  LLR +1.68  (53 min)
   1880 games  +694 =537 -649  elo +8 +/- 16  LLR +1.90  (54 min)
   1920 games  +706 =549 -665  elo +7 +/- 16  LLR +1.64  (55 min)
   1960 games  +722 =558 -680  elo +7 +/- 15  LLR +1.68  (57 min)
   2000 games  +738 =572 -690  elo +8 +/- 15  LLR +2.03  (58 min)
   2040 games  +753 =585 -702  elo +9 +/- 15  LLR +2.20  (59 min)
   2080 games  +767 =598 -715  elo +9 +/- 15  LLR +2.25  (60 min)
   2120 games  +788 =608 -724  elo +10 +/- 15  LLR +2.95  (61 min)
SPRT: candidate is better - accept
RESULT accept 788 608 724 10.5 14.8 2.954
