14 concurrent games, one per physical core (16 physical / 32 logical)
SPRT [-5.0, 10.0] bounds [-2.94, 2.94]
compiling both engines once per worker, then playing continuously
     40 games  +13 =9 -18  elo -44 +/- 112  LLR -0.30  (2 min)
     80 games  +29 =20 -31  elo -9 +/- 77  LLR -0.15  (3 min)
    120 games  +45 =26 -49  elo -12 +/- 63  LLR -0.27  (5 min)
    160 games  +58 =35 -67  elo -20 +/- 54  LLR -0.56  (6 min)
    200 games  +70 =50 -80  elo -17 +/- 49  LLR -0.66  (7 min)
    240 games  +84 =62 -94  elo -14 +/- 44  LLR -0.68  (8 min)
    280 games  +95 =77 -108  elo -16 +/- 41  LLR -0.90  (9 min)
    320 games  +107 =92 -121  elo -15 +/- 38  LLR -0.99  (10 min)
    360 games  +119 =104 -137  elo -17 +/- 36  LLR -1.25  (11 min)
    400 games  +131 =115 -154  elo -20 +/- 34  LLR -1.57  (13 min)
    440 games  +148 =120 -172  elo -19 +/- 33  LLR -1.62  (14 min)
    480 games  +159 =134 -187  elo -20 +/- 31  LLR -1.89  (15 min)
    520 games  +177 =141 -202  elo -17 +/- 30  LLR -1.71  (16 min)
    560 games  +192 =152 -216  elo -15 +/- 29  LLR -1.66  (17 min)
    600 games  +210 =162 -228  elo -10 +/- 28  LLR -1.32  (18 min)
    640 games  +225 =171 -244  elo -10 +/- 27  LLR -1.39  (19 min)
    680 games  +240 =178 -262  elo -11 +/- 26  LLR -1.57  (20 min)
    720 games  +257 =187 -276  elo -9 +/- 25  LLR -1.41  (22 min)
    760 games  +274 =193 -293  elo -9 +/- 25  LLR -1.42  (23 min)
    800 games  +288 =206 -306  elo -8 +/- 24  LLR -1.38  (24 min)
    840 games  +306 =216 -318  elo -5 +/- 24  LLR -1.05  (25 min)
    880 games  +321 =227 -332  elo -4 +/- 23  LLR -1.01  (26 min)
    920 games  +334 =238 -348  elo -5 +/- 22  LLR -1.20  (27 min)
    960 games  +349 =248 -363  elo -5 +/- 22  LLR -1.22  (28 min)
   1000 games  +361 =264 -375  elo -5 +/- 22  LLR -1.24  (30 min)
   1040 games  +371 =281 -388  elo -6 +/- 21  LLR -1.45  (31 min)
   1080 games  +392 =289 -399  elo -2 +/- 21  LLR -0.87  (32 min)
   1120 games  +405 =300 -415  elo -3 +/- 20  LLR -1.06  (33 min)
   1160 games  +417 =310 -433  elo -5 +/- 20  LLR -1.43  (34 min)
   1200 games  +433 =320 -447  elo -4 +/- 20  LLR -1.33  (35 min)
   1240 games  +446 =326 -468  elo -6 +/- 19  LLR -1.81  (37 min)
   1280 games  +461 =340 -479  elo -5 +/- 19  LLR -1.60  (38 min)
   1320 games  +475 =352 -493  elo -5 +/- 19  LLR -1.62  (39 min)
   1360 games  +491 =361 -508  elo -4 +/- 18  LLR -1.57  (40 min)
   1400 games  +508 =370 -522  elo -3 +/- 18  LLR -1.41  (41 min)
   1440 games  +521 =383 -536  elo -4 +/- 18  LLR -1.49  (42 min)
   1480 games  +532 =398 -550  elo -4 +/- 18  LLR -1.69  (44 min)
   1520 games  +542 =413 -565  elo -5 +/- 17  LLR -2.01  (45 min)
   1560 games  +559 =420 -581  elo -5 +/- 17  LLR -1.96  (46 min)
   1600 games  +577 =427 -596  elo -4 +/- 17  LLR -1.80  (47 min)
   1640 games  +597 =438 -605  elo -2 +/- 17  LLR -1.17  (48 min)
   1680 games  +614 =448 -618  elo -1 +/- 17  LLR -0.95  (49 min)
   1720 games  +633 =453 -634  elo -0 +/- 16  LLR -0.78  (50 min)
   1760 games  +643 =467 -650  elo -1 +/- 16  LLR -1.16  (52 min)
   1800 games  +656 =478 -666  elo -2 +/- 16  LLR -1.35  (53 min)
   1840 games  +670 =487 -683  elo -2 +/- 16  LLR -1.54  (54 min)
   1880 games  +682 =500 -698  elo -3 +/- 16  LLR -1.74  (55 min)
   1920 games  +695 =509 -716  elo -4 +/- 16  LLR -2.04  (56 min)
   1960 games  +707 =524 -729  elo -4 +/- 15  LLR -2.13  (57 min)
   2000 games  +724 =535 -741  elo -3 +/- 15  LLR -1.85  (58 min)
   2040 games  +738 =549 -753  elo -3 +/- 15  LLR -1.75  (59 min)
   2080 games  +751 =558 -771  elo -3 +/- 15  LLR -2.06  (60 min)
   2120 games  +764 =571 -785  elo -3 +/- 15  LLR -2.14  (62 min)
   2160 games  +785 =577 -798  elo -2 +/- 15  LLR -1.68  (63 min)
   2200 games  +806 =585 -809  elo -0 +/- 15  LLR -1.11  (64 min)
   2240 games  +818 =595 -827  elo -1 +/- 14  LLR -1.48  (65 min)
   2280 games  +832 =603 -845  elo -2 +/- 14  LLR -1.73  (66 min)
   2320 games  +849 =615 -856  elo -1 +/- 14  LLR -1.39  (67 min)
   2360 games  +865 =629 -866  elo -0 +/- 14  LLR -1.06  (69 min)
   2400 games  +877 =644 -879  elo -0 +/- 14  LLR -1.14  (70 min)
   2440 games  +891 =656 -893  elo -0 +/- 14  LLR -1.15  (71 min)
   2480 games  +905 =668 -907  elo -0 +/- 14  LLR -1.17  (72 min)
   2520 games  +914 =685 -921  elo -1 +/- 14  LLR -1.49  (73 min)
   2560 games  +932 =694 -934  elo -0 +/- 13  LLR -1.21  (74 min)
   2600 games  +946 =702 -952  elo -1 +/- 13  LLR -1.46  (76 min)
   2640 games  +963 =712 -965  elo -0 +/- 13  LLR -1.24  (77 min)
   2680 games  +976 =722 -982  elo -1 +/- 13  LLR -1.49  (78 min)
   2720 games  +993 =734 -993  elo -0 +/- 13  LLR -1.16  (79 min)
   2760 games  +1003 =749 -1008  elo -1 +/- 13  LLR -1.47  (80 min)
   2800 games  +1023 =757 -1020  elo +0 +/- 13  LLR -1.01  (81 min)
   2840 games  +1039 =766 -1035  elo +0 +/- 13  LLR -0.97  (82 min)
   2880 games  +1053 =775 -1052  elo +0 +/- 13  LLR -1.16  (83 min)
   2920 games  +1068 =787 -1065  elo +0 +/- 13  LLR -1.06  (85 min)
   2960 games  +1086 =797 -1077  elo +1 +/- 13  LLR -0.73  (86 min)
   3000 games  +1101 =806 -1093  elo +1 +/- 12  LLR -0.80  (87 min)
   3040 games  +1113 =821 -1106  elo +1 +/- 12  LLR -0.88  (88 min)
   3080 games  +1124 =832 -1124  elo -0 +/- 12  LLR -1.31  (89 min)
   3120 games  +1138 =841 -1141  elo -0 +/- 12  LLR -1.50  (90 min)
   3160 games  +1150 =855 -1155  elo -1 +/- 12  LLR -1.64  (92 min)
   3200 games  +1173 =863 -1164  elo +1 +/- 12  LLR -0.83  (93 min)
   3240 games  +1189 =875 -1176  elo +1 +/- 12  LLR -0.61  (94 min)
   3280 games  +1204 =885 -1191  elo +1 +/- 12  LLR -0.63  (95 min)
   3320 games  +1218 =900 -1202  elo +2 +/- 12  LLR -0.47  (96 min)
   3360 games  +1234 =906 -1220  elo +1 +/- 12  LLR -0.60  (97 min)
   3400 games  +1246 =922 -1232  elo +1 +/- 12  LLR -0.62  (98 min)
   3440 games  +1258 =937 -1245  elo +1 +/- 12  LLR -0.70  (99 min)
   3480 games  +1268 =955 -1257  elo +1 +/- 12  LLR -0.83  (101 min)
   3520 games  +1284 =964 -1272  elo +1 +/- 11  LLR -0.79  (102 min)
   3560 games  +1302 =976 -1282  elo +2 +/- 11  LLR -0.33  (103 min)
   3600 games  +1314 =992 -1294  elo +2 +/- 11  LLR -0.35  (104 min)
   3640 games  +1333 =998 -1309  elo +2 +/- 11  LLR -0.13  (105 min)
   3680 games  +1348 =1007 -1325  elo +2 +/- 11  LLR -0.21  (106 min)
